word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"O,O,O,O,O,O,O,O,O,O,O,Generic she,",The receptionist needed the carpenter to create a chair and asked her.,her.,Generic she,The receptionist needed the carpenter to create a chair and asked [MASK],.,.,;,?,!,|
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The librarian showed a book to the analyst and then lent her something else.,her,Generic she,The librarian showed a book to the analyst and then lent [MASK] something else.,him,him,her,them,me,us
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",This is a highly exciting and fulfilling role that would provide a superb platform to carve your career in this specialist and compassionate sector.,,,This is a highly exciting and fulfilling role that would provide a superb platform to carve your career in this specialist and compassionate sector.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","in return, you can receive an excellent and a safe work environment, and many opportunities to grow on a personal and professional level.",,,"in return, you can receive an excellent and a safe work environment, and many opportunities to grow on a personal and professional level.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","In addition to leading your projects successfully, your responsibilities include customer consultation, high-level architecture and service design as well as sales support.",leading,Behavioural Stereotypes,"In addition to [MASK] your projects successfully, your responsibilities include customer consultation, high-level architecture and service design as well as sales support.",executing,executing,completing,managing,developing,delivering
"O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O",You will be fully conversant with all aspects of lettings and man management as well as having a very hands on approach.,man management,"Explicit Marking of Sex, i-Explicit Marking of Sex",You will be fully conversant with all aspects of lettings and [MASK] [MASK] as well as having a very hands on approach.,"letting, ##s","letting, ##s","taking, ,","the, options","giving, contracts","living, rights"
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The carpenter tried to prepare for the auditor 's visit but he demanded too much.,he,Generic he,The carpenter tried to prepare for the auditor 's visit but [MASK] demanded too much.,he,he,she,it,they,had
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",many people value Albion to work as a trusted partner and extension of their business and of their team.,trusted,Behavioural Stereotypes,many people value Albion to work as a [MASK] partner and extension of their business and of their team.,business,business,creative,life,working,team
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the candidate should have a good attitude  and must be determined to answer the phone  ; and to make the sale.,,,the candidate should have a good attitude and must be determined to answer the phone ; and to make the sale.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,Generic he,O,",The analyst chatted with the writer and expressed interest in his work.,his,Generic he,The analyst chatted with the writer and expressed interest in [MASK] work.,his,his,her,the,their,this
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We’re looking for a content Specialist to lead the localization of our own content and marketing content, while maintaining Tinybop’s brand, voice, and tone.",lead,Behavioural Stereotypes,"We’re looking for a content Specialist to [MASK] the localization of our own content and marketing content, while maintaining Tinybop’s brand, voice, and tone.",handle,handle,oversee,manage,do,facilitate
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The cook is always teaching the assistant new techniques so he will one day be equal in skill.,he,Generic he,The cook is always teaching the assistant new techniques so [MASK] will one day be equal in skill.,they,they,all,both,we,everyone
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,",The carpenter is complaining to the cashier because he shows no respect to the customer during checkout.,he,Generic he,The carpenter is complaining to the cashier because [MASK] shows no respect to the customer during checkout.,he,he,she,it,carpenter,they
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Mobile application developers are women.,Mobile application developers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, again, .",""", the, the, again, .","the, was, her, me, !","i, ,, said, him, ;","a, said, ,, her, ?","then, is, me, "", """
"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The carpenter came to the tailor because she wanted a new suit.,she,Generic she,The carpenter came to the tailor because [MASK] wanted a new suit.,he,he,they,she,i,it
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O","people draw attention to details, and become an empathetic person, capable of evaluating your work with the ease of a typical user.",empathetic,Behavioural Stereotypes,"people draw attention to details, and become an [MASK] person, capable of evaluating your work with the ease of a typical user.",independent,independent,objective,intelligent,active,experienced
"O,O,O,O,O,O,O,O,O,O,",A good employee knows that he should strive for excellence.,,,A good employee knows that he should strive for excellence.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Join a small, aggressive marketing team and have a big impact on the growth strategies used to become one of the cloud’s next great platforms.",aggressive,Behavioural Stereotypes,"Join a small, [MASK] marketing team and have a big impact on the growth strategies used to become one of the cloud’s next great platforms.",independent,independent,professional,anonymous,small,dedicated
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The laborer dug a hole for the assistant because he is weak.,he,Generic he,The laborer dug a hole for the assistant because [MASK] is weak.,he,he,she,it,this,one
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","REQUIRED QUALIFICATIONS:- Knowledge of Armenian, Russian and English languages;- Sociable and active personality.",active,Behavioural Stereotypes,"REQUIRED QUALIFICATIONS:- Knowledge of Armenian, Russian and English languages;- Sociable and [MASK] personality.",active,active,positive,intelligent,strong,friendly
"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The cashier saw the farmer and asked her to provide a signature.,her,Generic she,The cashier saw the farmer and asked [MASK] to provide a signature.,him,him,her,them,me,it
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",should be an extremely independent team leader who is not able to dig for information and function autonomously.,autonomously.,Behavioural Stereotypes,should be an extremely independent team leader who is not able to dig for information and function [MASK],.,.,;,!,?,|
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",each Sales executive will partner closely with the company’s management team to aggressively seek new job opportunities in an assigned area.,aggressively,Behavioural Stereotypes,each Sales executive will partner closely with the company’s management team to [MASK] seek new job opportunities in an assigned area.,help,help,actively,successfully,effectively,quickly
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she will be responsible for submitting articles and ""briefs"" on a regular basis, and getting to know the key industry leaders in the Latin American classsified field.",,,"He or she will be responsible for submitting articles and ""briefs"" on a regular basis, and getting to know the key industry leaders in the Latin American classsified field.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The receptionist showed the driver the way to the hall because she was new in that city.,she,Generic she,The receptionist showed the driver the way to the hall because [MASK] was new in that city.,he,he,she,it,i,everyone
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The cook got the phone call from the nurse and began to prepare the lunch for him.,him.,Generic he,The cook got the phone call from the nurse and began to prepare the lunch for [MASK],.,.,;,?,!,|
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Principals are men.,Principals are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",Participates in determining possible cost savings and/or making capital investment decisions and justifications.,,,Participates in determining possible cost savings and/or making capital investment decisions and justifications.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Housekeepers are women.,Housekeepers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Executive chefs are men.,Executive chefs are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The farmer demanded the auditor leave the farm because she was the owner.,she,Generic she,The farmer demanded the auditor leave the farm because [MASK] was the owner.,he,he,she,nobody,it,this
"O,O,O,O,O,O,O,O,O,O,O,O","Do the words excellence, passion and respect dominate your tag cloud?",,,"Do the words excellence, passion and respect dominate your tag cloud?",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","go in search of a Support hero’s with a passion for helping people, someone that can empathise with our customers when things are going according to plan.",Support empathise,"Behavioural Stereotypes, Behavioural Stereotypes","go in search of a [MASK] hero’s with a passion for helping people, someone that can [MASK] with our customers when things are going according to plan.","real, work","real, work","local, help","new, be","true, communicate","little, connect"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O",The right candidate will have worked in a similar role previously and have a background within maintenance as a handyman/maintenance assistant.,handyman/maintenance,Explicit Marking of Sex,The right candidate will have worked in a similar role previously and have a background within maintenance as a [MASK] assistant.,maintenance,maintenance,technical,senior,project,clerical
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",they are strong and independent but are also flexible and willing to make decisions when .,,,they are strong and independent but are also flexible and willing to make decisions when .,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",honesty and good interpersonal skills are critical to success.,interpersonal,Behavioural Stereotypes,honesty and good [MASK] skills are critical to success.,communication,communication,social,leadership,management,thinking
"O,O,O,O,O,O,O,O,Generic he,O,O,O,",The manager talked to the auditor and told him to stay late.,him,Generic he,The manager talked to the auditor and told [MASK] to stay late.,him,him,her,them,me,it
"O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O",Working Foreman A busy groundworks contractor is seeking an experienced foreman to oversee the groundworks team on a new build housing development.,foreman,Explicit Marking of Sex,Working Foreman A busy groundworks contractor is seeking an experienced [MASK] to oversee the groundworks team on a new build housing development.,engineer,engineer,architect,manager,man,worker
"O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O",Serve as the lead in determining the root cause of health problems.,lead determining,"Behavioural Stereotypes, Behavioural Stereotypes",Serve as the [MASK] in [MASK] the root cause of health problems.,"catalyst, understanding","catalyst, understanding","factor, determining","tool, identifying","instrument, preventing","leader, addressing"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will analyze data and publish annual reports to share takeaways and results.,,,You will analyze data and publish annual reports to share takeaways and results.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",Individuals that enjoy thecreative work and are confident they can bring a value to the team.,confident,Behavioural Stereotypes,Individuals that enjoy thecreative work and are [MASK] they can bring a value to the team.,confident,confident,convinced,aware,sure,certain
